"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Underwater image dehaze using scene depth estimation with adaptive color correction","X. Ding; Y. Wang; J. Zhang; X. Fu","Information Science and Technology College Dalian Maritime University Dalian 116026, China; Information Science and Technology College Dalian Maritime University Dalian 116026, China; Information Science and Technology College Dalian Maritime University Dalian 116026, China; Information Science and Technology College Dalian Maritime University Dalian 116026, China",OCEANS 2017 - Aberdeen,"26 Oct 2017","2017","","","1","5","Underwater images suffer from poor visibility due to color casts and light scattering that caused by physical properties existing in underwater environments. Degraded underwater images lead to a low accuracy rate of underwater object detection and recognition. To solve this problem, a novel underwater image enhancement method which combines adaptive color correction and image dehazing based on atmospheric scattering model is proposed in this paper. As the most important component of dehazing model, a transmission map is derived from the color corrected image. Considering the exponential relationship between the transmission map and scene depth map, transmission map estimation will be naturally formulated into a scene depth map estimation problem. To predict scene depth map, a Convolutional Neural Network (CNN) is employed on image patches extracted from the color corrected image. The experimental results show that the proposed strategy improves the quality of underwater images efficiently and arrives at good results in underwater objects detection and recognition.","","978-1-5090-5278-3","10.1109/OCEANSE.2017.8084665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8084665","Underwater image dehazing;Scene depth;Convolutional Neural Network;Color correction;Atmospheric scattering model","Atmospheric modeling;Image color analysis;Scattering;Estimation;Image enhancement;Neural networks;Adaptation models","","66","","17","IEEE","26 Oct 2017","19-22 June 2017","19-22 June 2017","IEEE","IEEE Conferences"
"Dehazing of Satellite Images using Improved Dark Channel Prior Method based on Retinex Theory","M. Kalaiyarasi; N. Venkata Sireesha; G. Irin Loretta; D. S. Naga Malleswara Rao; S. Saravanan; K. Vijaya Bhaskar Reddy","Department of ECE, Saveetha School of Engineering Saveetha Institute of Medical and Technical Sciences, SIMATS, Chennai; Department of Information Technology, Institute of Aeronautical Engineering Dundigal, Hyderabad, Telangana, India; Department of ECE, Saveetha School of Engineering Saveetha Institute of Medical and Technical Sciences, SIMATS, Chennai; Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad, Telangana, India; Department of EEE, B V Raju Institute of Technology, Narsapur, Telangana, India; Department of EEE, B V Raju Institute of Technology, Narsapur, Telangana, India",2023 1st International Conference on Optimization Techniques for Learning (ICOTL),"19 Feb 2024","2023","","","1","4","Satellite images often suffer from uneven haze, which degrades their quality and impedes various advanced tasks. In recent times, the use of deep learning for removing haze from satellite pictures has gained considerable interest. This study introduces the Retinex Dark Channel Prior (RDCP) technique to enhance the visual appeal of satellite imageries under foggy conditions. Initially, the foggy image is broken down into incident and reflected components, utilizing the principles of Retinex theory. Subsequently, the DCP defogging algorithm is employed to comprehend the foggy image degradation process. This approach ultimately yields a haze-free restored image. The method is tested on a dataset of 82 individual satellite images. Through simulation results, it’s evident that the proposed approach performs notably well, achieving a Peak Signal-to-Noise Ratio (PSNR) of 22% and a Structural Similarity Index Measure (SSIM) of 0.84 when compared against existing methodologies.","","979-8-3503-2804-2","10.1109/ICOTL59758.2023.10435235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10435235","Satellite image;Dehaze;Dark Channel Prior;Retinex theory;PSNR","Visualization;PSNR;Satellites;Simulation;Satellite images;Task analysis;Optimization","","1","","13","IEEE","19 Feb 2024","7-8 Dec. 2023","7-8 Dec. 2023","IEEE","IEEE Conferences"
"A Novel Framework for Satellite Image Dehazing Using Advanced Computational Techniques","S. Vishwakarma; Anuradha; D. Punj","J.C. Bose University of Science and Technology, Faridabad, India; Department of Computer Science and Engineering, Symbiosis Institute of Technology, Pune, India; J.C. Bose University of Science and Technology, Faridabad, India",2024 4th Asian Conference on Innovation in Technology (ASIANCON),"21 Jan 2025","2024","","","1","7","Satellite imagery information is used in many different ways; some of the more common ones are environmental and urban planning and disaster response. That is why haze has a highly negative impact on the quality and visibility of such images and their further usage. The following paper proposes an innovative approach to satellite images dehazing to enhance its value to professionals and researchers in the field. The ideas for the proposed method involve incorporating the use of machine learning algorithms into image enhancement procedures to adequately dehaze the images, increase image resolution, and enhance the efficiency of getting information from satellite images. Our approach involves a three-step process: seen as consisting of preprocessing, a dehazing network, and postprocessing. The preliminary processing generally includes initial enhancement operations such as histogram equalization and color stretch. The foundation of our framework is a deep learning-based dehazing network that uses CNNs, residual blocks, attention mechanisms, and GANs to dehaze and restore the images’ quality. Additional operations are performed in postprocessing; they include details enlargement, the removal of noise , and color correction so as to achieve natural and quality results. We evaluate our framework using two standard satellite image datasets: The users of the mentioned services are SateHaze1k and RICE. The effectiveness of the proposed method is evaluated by means of two quality measures, namely Peak Signal-to-Noise Ratio and Structural Similarity Index. Test results portray the efficiency of the proposed technique in dehazing with enhanced PSNR and SSIM values over other conventional and state-of-art works on machine learning-based dehazing methods. That is why our framework can provide the workable and scalable solution for the improvement of the satellite images’ clarity that would be the beneficial for its usage in numerous applications.","","979-8-3503-5421-8","10.1109/ASIANCON62057.2024.10838055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10838055","Satellite Image Dehazing;Advanced Computational Techniques;Convolutional Neural Networks (CNNs);Generative Adversarial Networks (GANs);Image Quality Enhancement","Technological innovation;Image resolution;Satellites;Image color analysis;Urban planning;Stability criteria;Satellite images;Colored noise;Standards;Remote sensing","","1","","31","IEEE","21 Jan 2025","23-25 Aug. 2024","23-25 Aug. 2024","IEEE","IEEE Conferences"
"Single Image Haze Removal Using Dark Channel Prior","K. He; J. Sun; X. Tang","Department of Information Engineering, Chinese University of Hong Kong, Hong Kong, China; Microsoft Research Asia, China; Department of Information Engineering, Chinese University of Hong Kong, Hong Kong, China",IEEE Transactions on Pattern Analysis and Machine Intelligence,"20 Oct 2011","2011","33","12","2341","2353","In this paper, we propose a simple but effective image prior-dark channel prior to remove haze from a single input image. The dark channel prior is a kind of statistics of outdoor haze-free images. It is based on a key observation-most local patches in outdoor haze-free images contain some pixels whose intensity is very low in at least one color channel. Using this prior with the haze imaging model, we can directly estimate the thickness of the haze and recover a high-quality haze-free image. Results on a variety of hazy images demonstrate the power of the proposed prior. Moreover, a high-quality depth map can also be obtained as a byproduct of haze removal.","1939-3539","","10.1109/TPAMI.2010.168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5567108","Dehaze;defog;image restoration;depth estimation.","Image color analysis;Image restoration;Atmospheric modeling;Channel estimation","","4679","34","20","IEEE","9 Sep 2010","Dec. 2011","","IEEE","IEEE Journals"
"Restoration of underwater vision using a two-phase regularization mechanism","J. -K. Guo; C. -C. Sung; H. -H. Chang","Department of Engineering Science and Ocean Engineering, National Taiwan University, Daan, Taipei, Taiwan; Department of Engineering Science and Ocean Engineering, National Taiwan University, Daan, Taipei, Taiwan; Department of Engineering Science and Ocean Engineering, National Taiwan University, Daan, Taipei, Taiwan",2014 7th International Congress on Image and Signal Processing,"8 Jan 2015","2014","","","243","247","Clear underwater vision is crucial to many research and realistic applications in ocean engineering, ocean biology, and ocean science. However, owing to particular propagation properties of light beneath water, underwater images usually have poor quality including low contrast, blurring, darkness, and color diminishing. In this article, a new underwater image restoration algorithm is proposed that consists of two major phases: haze removal and color correction. In the first phase, underwater images are observed similar to haze images because they have the same problems of low contrast and color shifting. This motivated us to use the dark channel prior haze removal technique to dehaze underwater images. Subsequently, in the second phase, we equalize the color mean in each RGB (red, green, blue) channel to balance the color. We use the CLAHE method to further increase the local contrast of the image. Then, the color space is transformed from RGB to HSV (hue, saturation, value) to adjust the S channel to make the image color more natural. Finally, we adjust V channel according to the brightness value of RGB to enhance the global contrast. Preliminary results indicated that the proposed method effectively improved visual interpretation of underwater images.","","978-1-4799-5835-1","10.1109/CISP.2014.7003785","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7003785","underwater image;image restoration;dark channel proir;histogram stretching;contrast limited adaptive histogram equalization(CLAHE)","Image color analysis;Image restoration;Histograms;Computational modeling;Oceans;Imaging;Water","","5","","18","IEEE","8 Jan 2015","14-16 Oct. 2014","14-16 Oct. 2014","IEEE","IEEE Conferences"
"Nonuniformly Dehaze Network for Visible Remote Sensing Images","Z. Chen; Q. Li; H. Feng; Z. Xu; Y. Chen","College of Optical Science and Engineering, Zhejiang University, China; College of Optical Science and Engineering, Zhejiang University, China; College of Optical Science and Engineering, Zhejiang University, China; College of Optical Science and Engineering, Zhejiang University, China; College of Optical Science and Engineering, Zhejiang University, China",2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),"23 Aug 2022","2022","","","446","455","Nonuniform haze on remote sensing images degrades image quality and hinders many high-level tasks. In this paper, we propose a Nonuniformly Dehaze Network towards nonuniform haze on visible remote sensing images. To extract robust haze-aware features, we propose Nonuniformly Excite (NE) module. Inspired by the well-known gather-excite attention module, NE module works in a map-excite manner. In the map operation, we utilize a proposed Dual Attention Dehaze block to extract local enhanced features. In the gather operation, we utilize a strided deformable convolution to nonuniformly process features and extract nonlocal haze-aware features. In the excite operation, we employ a pixel-wise attention between local enhanced features and nonlocal haze-aware features, to gain finer haze-aware features. Moreover, we recursively embed NE modules in a multi-scale framework. It helps not only significantly reduce network’s parameters, but also recursively deliver and fuse haze-aware features from higher levels, which makes learning more efficient. Experiments demonstrate that the proposed network performs favorably against the state-of-the-art methods on both synthetic and real-world images.","2160-7516","978-1-6654-8739-9","10.1109/CVPRW56347.2022.00060","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9857255","","Image quality;Computer vision;Fuses;Convolution;Conferences;Feature extraction;Pattern recognition","","17","","41","IEEE","23 Aug 2022","19-20 June 2022","19-20 June 2022","IEEE","IEEE Conferences"
"Dehazing of Multispectral Remote Sensing Images Using CNN with ResNet","H. S. Babu Avvaru; S. R. Dasarapalli; P. K. Kollu","Department of Computer Science and Engineering, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, India; Department of Computer Science and Engineering, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, India; Department of Computer Science and Engineering, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, India",2023 3rd Asian Conference on Innovation in Technology (ASIANCON),"10 Oct 2023","2023","","","1","6","Satellite image utilization for data interpretation has significantly increased in the current scenario. Deep learning techniques have gained widespread popularity for analyzing satellite image data. However, a major challenge in this field is the presence of haze, which hampers accurate interpretation. Haze occurs when fine dust, smoke, or light vapors reduce the air's transparency, resulting in a lack of contrast in affected regions of satellite images. To tackle this issue, atmospheric correction is commonly employed, but it is a complex and time-consuming process that requires knowledge of various geophysical factors to achieve precise results. Hence, the objective of this research is to develop and implement image processing algorithms that can effectively restore pixels affected by haze, thereby improving the interpretability of satellite images. The proposed work consists of two main phases. Firstly, noise reduction techniques will be applied to the images to enhance their quality. In the second phase, a Convolutional Neural Network with a Residual structure will be utilized to dehaze the images. The evaluation of the proposed system will focus on the Kondapalli region and its surrounding areas in the Kondapalli dataset. This research aims to develop a robust solution that can enhance satellite images affected by haze, providing clearer and more interpretable data for various applications. The effectiveness of the proposed system will be compared with the Dark Object Subtraction method.","","979-8-3503-0228-8","10.1109/ASIANCON58793.2023.10269956","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10269956","Image processing;Haze;Atmospheric correction;Dehazing algorithms;Multispectral images","Deep learning;Technological innovation;Image resolution;Noise reduction;Prediction algorithms;Satellite images;Image restoration","","2","","15","IEEE","10 Oct 2023","25-27 Aug. 2023","25-27 Aug. 2023","IEEE","IEEE Conferences"
"Improving visibility and fidelity of underwater images using an adaptive restoration algorithm","J. -K. Guo; C. -C. Sung; H. -H. Chang","Department of Engineering Science and Ocean Engineering, National Taiwan University, Taipei, Taiwan; Department of Engineering Science and Ocean Engineering, National Taiwan University, Taipei, Taiwan; Department of Engineering Science and Ocean Engineering, National Taiwan University, Taipei, Taiwan",OCEANS 2014 - TAIPEI,"24 Nov 2014","2014","","","1","6","When light is transmitted in water from a subject to an observer, it is scattered and absorbed by the unstable environment such as suspended particles and turbid water. Due to these phenomena, underwater images usually have poor quality including low contrast, blurring, darkness, and color diminishing. In this paper, we propose a new underwater image restoration algorithm that consists of two major phases: visibility restoration and fidelity restoration. In the first phase, underwater images are observed similar to haze images because they have the same problems of low contrast and color shifting. This motivated us to use the haze removal technique, namely, dark channel prior, to dehaze underwater images. Subsequently, in the second phase, we equalize the color mean in each RGB (red, green, blue) channel to balance the color. Then transform the color space from RGB to HSV (hue, saturation, value) color space to adjust S channel to make the image color more natural. Finally, we adjust V channel according to the brightness value of RGB to enhance the contrast. Preliminary results indicated that the proposed method effectively improved visibility and fidelity of underwater images.","","978-1-4799-3646-5","10.1109/OCEANS-TAIPEI.2014.6964546","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6964546","underwater images;image restoration;image dahaze;dark channel proir;histogram stretching","Image color analysis;Image restoration;Histograms;Oceans;Water;Optical imaging","","7","","17","IEEE","24 Nov 2014","7-10 April 2014","7-10 April 2014","IEEE","IEEE Conferences"
"Underwater Fish Image Enhancement Algorithm Based on Dark Channel Prior and Retinex","L. Zou; W. Tan; Z. Chen; J. Wan","College of Information and Smart Electromechanical Engineering, Xiamen Huaxia University, Xiamen, China; College of Information and Smart Electromechanical Engineering, Xiamen Huaxia University, Xiamen, China; College of Information and Smart Electromechanical Engineering, Xiamen Huaxia University, Xiamen, China; College of Information and Smart Electromechanical Engineering, Xiamen Huaxia University, Xiamen, China","2023 International Conference on Image Processing, Computer Vision and Machine Learning (ICICML)","13 Feb 2024","2023","","","50","56","Due to the intricate underwater conditions and lighting challenges prevalent in marine farms, underwater fish images often suffer from issues like blurriness, low contrast, color distortion, and uneven illumination. In response to these hurdles, we present an underwater fish image enhancement algorithm that leverages the dark channel prior and Retinex. We commence by applying the dark channel prior to dehaze underwater fish images. To discriminate between foreground and background regions within the image, we employ a superpixels segmentation technique based on variations in image brightness. Consequently, we employ a multi-scale Retinex enhancement on each region and perform a secondary enhancement exclusively on the background region. Finally, a Poisson fusion method is utilized to amalgamate the enhanced foreground and background segments, resulting in a unified composite image. We conducted comprehensive experiments employing the Underwater Image Enhancement Benchmark Dataset (UIEBD). The experimental findings substantiate the efficacy of the proposed algorithm, with notable improvements observed across three key evaluation metrics: information entropy, average gradient, and standard deviation. These enhancements translate to an average percentage increase of 18.22%, 133.67%, and 59.29%, respectively. Additionally, the algorithm notably enhances underwater fish image clarity and ameliorates issues related to uneven illumination. It demonstrates superior aptitude in preserving image intricacies and elevating contrast when juxtaposed with alternative algorithms, substantiating its superior performance.","","979-8-3503-3141-7","10.1109/ICICML60161.2023.10424800","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10424800","underwater images;fish;dark channel prior;Retinex;uneven illumination","Image segmentation;Target recognition;Lighting;Fish;Partitioning algorithms;Image enhancement;Standards","","","","23","IEEE","13 Feb 2024","3-5 Nov. 2023","3-5 Nov. 2023","IEEE","IEEE Conferences"
"Single Image Dehazing Using Dark Channel Fusion and Haze Density Weight","W. Mei; X. Li","School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China; School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China",2019 IEEE 9th International Conference on Electronics Information and Emergency Communication (ICEIEC),"5 Aug 2019","2019","","","579","585","Aiming at the defect that many traditional single image dehazing algorithms fail in sky areas and suffer from the darkness and residual artifacts, a method of single image dehazing based on dark channel fusion and haze density weight is proposed in this paper. Firstly, the method of dark channel fusion, which can effectively ensure that the pixel intensity of the sky areas in the dark channel map is as low as that of non-sky areas, is proposed to approximate the dark channel operation. Considering that the haze density is different in different regions of the hazy image, we then calculate the haze density weight to estimate reliable transmission. For obtaining more accurate transmission and atmospheric light, we utilize the guided filter to refine them. Consequently, the haze-free image can be restored by the atmospheric scattering model. Experimental results show that the proposed method can obviously eliminate the color cast and distortion phenomenon in sky regions and the details of restored image become more distinct after removing the residual artifacts. Moreover, the brightness, visibility and contrast are improved to a large degree.","2377-844X","978-1-7281-1190-2","10.1109/ICEIEC.2019.8784493","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8784493","dehaze;dark channel fusion;haze density weight;atmospheric scattering model","Atmospheric modeling;Image color analysis;Scattering;Image restoration;Image edge detection;Distortion;Brightness","","13","","28","IEEE","5 Aug 2019","12-14 July 2019","12-14 July 2019","IEEE","IEEE Conferences"
"Defogging Algorithm for Road Environment Landscape Visual Image Based on Wavelet Transform","W. Dai; X. Ren","Shenyang Jianzhu University, Shenyang, Liaoning, China; Shenyang Jianzhu University, Shenyang, Liaoning, China","2023 International Conference on Networking, Informatics and Computing (ICNETIC)","6 Sep 2023","2023","","","587","591","For the problem of serious image degradation and low contrast in foggy weather, an improved algorithm is proposed. In order to obtain important information of foggy images, an image dehazing method based on wavelet transform is proposed. Perform a layer of wavelet decomposition on the foggy image, perform single-scale enhancement and homomorphic filtering on the low-frequency image, and then linearly combine the two processed low-frequency images to obtain a new low-frequency image, and finally combine the new low-frequency image with the unprocessed image. The high-frequency image is reconstructed by inverse wavelet transform. First, the three color channels of the image are processed by histogram equalization in the color space; at the same time, the components are extracted in the color space, and two-dimensional discrete wavelet transform is performed on them to obtain a low-frequency component and three high-frequency components. The three high-frequency components are subjected to limited contrast histogram equalization processing, and then the two-dimensional discrete wavelet inverse transform is performed to reconstruct the high and low frequency parts, and finally converted back to the color space, and the two images are linearly combined to obtain the final dehaze image. From the perspective of time-frequency analysis, the Fourier transform in the homomorphic filtering algorithm is replaced by the fast wavelet transform, and then the wavelet coefficients are processed with the improved filter in the transform city. Keep the original information of the image not lost, enhance the contrast of the image, and make the processed image more visible. Compared with other dehazing methods, the image processed by this method has higher definition, faster time, higher contrast, better visual sense, higher brightness, more realistic color recovery, and better dehazing effect.","","979-8-3503-1331-4","10.1109/ICNETIC59568.2023.00127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10236755","Wavelet transform;Homomorphic filtrate;Highway landscape;Image Defogging algorithm","Wavelet transforms;Histograms;Fourier transforms;Wavelet domain;Image color analysis;Filtering algorithms;Wavelet analysis","","2","","10","IEEE","6 Sep 2023","29-31 May 2023","29-31 May 2023","IEEE","IEEE Conferences"
"Halo effect suppression for single image haze removal method","G. -J. Kim; B. Kang","Department of Electronic Engineering, Dong-A University, Busan, Korea; Dong-A University, Busan, Busan, KR",2016 International SoC Design Conference (ISOCC),"29 Dec 2016","2016","","","323","324","Haze is mainly occurred by atmospheric phenomena. Recently, many researchers in haze removal algorithm area are using single image. At the single image, we can't use depth information. To estimate the thickness of haze without depth information is not easy. As a result, single image haze removal method includes halo effect. In this paper, we propose halo effect suppression for single image haze removal method. Conventional halo removal method required a lot of time, but the proposed method is to lower the computational complexity.","","978-1-5090-3219-8","10.1109/ISOCC.2016.7799808","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7799808","defog;dehaze;haze removal;single image","Estimation;Image color analysis;Computer vision;Conferences;Signal processing algorithms;Cameras;Mathematical model","","4","","4","IEEE","29 Dec 2016","23-26 Oct. 2016","23-26 Oct. 2016","IEEE","IEEE Conferences"
"AI-Powered dehazing for image capture in mobile applications","V. R; R. C; J. K. Singh; S. S. Kale; S. H. K. R; N. S. S","Department of ECE, PSG College of Technology, Coimbatore, India; Department of ECE, PSG College of Technology, Coimbatore, India; Visual AI Advanced Research, Samsung R&D Institute, Bangalore, India; Visual AI Advanced Research, Samsung R&D Institute, Bangalore, India; Department of Information Technology, PSG College of Technology, Coimbatore, India; Department of Information Technology, PSG College of Technology, Coimbatore, India",2025 International Conference on Next Generation Computing Systems (ICNGCS),"8 Oct 2025","2025","","","1","8","The rapid advancement in mobile photography has made image capture increasingly popular. However, challenges like haze, often caused by atmospheric phenomena such as fog or mist, still degrade the quality of images. Haze scatters light, leading to poor visibility, low contrast, and color distortion, which compromises the clarity of photos. Toaddress this Issue, this paper aims to design and develop an AI-based dehazing model tailored for mobile-captured images. The proposed model focuses on effectively removing haze from images while ensuring uniform dehazing across the entire image. With a specific emphasis on high-quality image restoration, the model aims to achieve optimal results in terms of Peak Signal-to-Noise Ratio and Structural Similarity Index. By restoring clean content from hazy input images, this paper enhances the visual quality of mobile photography, making it suitable for real-world applications in various fields, such as surveillance, navigation, and outdoor photography.","","979-8-3315-9116-8","10.1109/ICNGCS64900.2025.11183404","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11183404","image dehaze;Generative Adversarial Networks;AI Model;feature fusion;Pyramid pooling","Photography;Visualization;Image color analysis;Atmospheric modeling;Computational modeling;Surveillance;Image capture;Feature extraction;Transformers;Image restoration","","","","16","IEEE","8 Oct 2025","21-22 Aug. 2025","21-22 Aug. 2025","IEEE","IEEE Conferences"
"Recurrent Context Aggregation Network for Single Image Dehazing","C. Wang; R. Chen; Y. Lu; Y. Yan; H. Wang","School of Informatics, Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, Xiamen, China; School of Informatics, Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, Xiamen, China; School of Informatics, Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, Xiamen, China; School of Informatics, Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, Xiamen, China; School of Informatics, Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, Xiamen, China",IEEE Signal Processing Letters,"4 Mar 2021","2021","28","","419","423","Existing learning-based dehazing methods are prone to cause excessive dehazing and failure to dense haze, mainly because that the global features of hazy images are not fully utilized, while the local features of hazy images are not enough discriminative. In this letter, we propose a Recurrent Context Aggregation Network (RCAN) to effectively dehaze images and restore color fidelity. In RCAN, an efficient and generic module, called Context Aggression Block (CAB), is designed to improve the feature representation by taking advantage of both global and local features, which are complementary for robust dehazing because that local features can capture different levels of haze, and global features can focus on textures and object edges of a whole image. In addition, RCAN adopts a deep recurrent mechanism to improve the dehazing performance without introducing additional network parameters. Extensive experimental results on both synthetic and real-world datasets show that the proposed RCAN performs better than other state-of-the-art dehazing methods.","1558-2361","","10.1109/LSP.2021.3056961","National Natural Science Foundation of China(grant numbers:U1605252,61872307,62002302,62071404); Natural Science Foundation of Fujian Province(grant numbers:2020J01005,2020J01001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9350156","Single image dehazing;global and local learning;deep recurrent mechanism","Image color analysis;Feature extraction;Convolution;Decoding;Visual perception;Measurement;Image restoration","","20","","26","IEEE","8 Feb 2021","2021","","IEEE","IEEE Journals"
"Single Image Dehazing Jointly Utilizing Dark Channel Prior and Guided Filtering in Dual-Tree Complex Wavelet Domain","Y. Dongqiao; H. Yuanyuan; T. Haozhe; H. Xi; Q. Zhi","Department of Network Engineering, Chengdu University of Information Technology, Chengdu, China; Department of Network Engineering, Chengdu University of Information Technology, Chengdu, China; Department of Network Engineering, Chengdu University of Information Technology, Chengdu, China; Department of Network Engineering, Chengdu University of Information Technology, Chengdu, China; Department of Network Engineering, Chengdu University of Information Technology, Chengdu, China",2020 17th International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP),"15 Jan 2021","2020","","","10","13","In this paper, a new image haze removal algorithm is proposed by jointly utilizing dark channel prior and guided filtering in dual-tree complex wavelet transform domain. The algorithm firstly uses guided filtering to smooth the hazing image, then adopts dual-tree complex wavelet transform to decompose the hazing image into low-frequency and high-frequency sub-band components, and then uses the dark channel prior model to process the low-frequency sub-band of the image, finally adopts inverse dual-tree complex wavelet transform to get the dehazed image. The dark channel prior comes from the statistical law of the outdoor fog-free image datasets. Since dual-tree complex wavelet transform has approximate translation advantages such as degeneration, higher positioning accuracy, computational efficiency, and guided filtering can increase the scope of application of haze removal, which can greatly reduce the optimization time of initial transmittance and the complexity of the entire algorithm. Therefore, the new proposed algorithm outperforms traditional dark channel prior based defogging algorithm. The experimental results show that the proposed algorithm can effectively improve the contrast and clarity of the image.","2576-8964","978-1-6654-0505-8","10.1109/ICCWAMTIP51612.2020.9317496","Chengdu University of Information Technology(grant numbers:J201707,S201910621082,202010621260,202010621268); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9317496","Dehaze;Dark channel prior;Guided filtering;Dual-tree complex wavelet transform","Wavelet transforms;Filtering;Filtering algorithms;Filter banks;Wavelet domain;Image edge detection;Smoothing methods","","9","","7","IEEE","15 Jan 2021","18-20 Dec. 2020","18-20 Dec. 2020","IEEE","IEEE Conferences"
"Uav Remote Sensing Image Dehazing Based On Saliency Guided Two-Scaletransmission Correction","K. Zhang; R. Zheng; S. Ma; L. Zhang","School of Artificial Intelligence, Beijing Normal University, Beijing, China; School of Artificial Intelligence, Beijing Normal University, Beijing, China; School of Artificial Intelligence, Beijing Normal University, Beijing, China; School of Artificial Intelligence, Beijing Normal University, Beijing, China",2021 IEEE International Conference on Image Processing (ICIP),"23 Aug 2021","2021","","","2848","2852","Current dehazing methods for unmanned aerial vehicle (UAV) remote sensing images often hold problems of texture detail loss in highlight regions and color distortions. This is mainly due to incorrect estimation of the transmission. In this paper, we propose a UAV dehazing method based on saliency guided two-scale transmission correction. Firstly, we propose a dehaze-driven frequency domain saliency model to detect highlight regions of hazy UAV images for better transmission correction. Secondly, we introduce a two-scale correction method to estimate the transmission map with more accurate texture details. We also introduce a suppression parameter to further suppress color distortions and energy over-reduction. Finally, the saliency map is taken as a weight of transmission correction to avoid texture detail loss and color distortions, especially in highlights. Compared with state-of-the-art methods, our method shows better visual effect and detail visibility, especially for UAV images with highlight regions.","2381-8549","978-1-6654-4115-5","10.1109/ICIP42928.2021.9506123","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9506123","Dehazing;remote sensing;unmanned aerial vehicle;saliency detection;transmission correction","Image color analysis;Frequency-domain analysis;Estimation;Distortion;Visual effects;Propagation losses;Unmanned aerial vehicles","","2","","27","IEEE","23 Aug 2021","19-22 Sept. 2021","19-22 Sept. 2021","IEEE","IEEE Conferences"
"Image Enhancement Algorithm for Complex Marine Backgrounds","R. Jin; W. Yuan; X. Kong","China Satellite Maritime Tracking and Control Department, Jiangyin, China; China Satellite Maritime Tracking and Control Department, Jiangyin, China; China Satellite Maritime Tracking and Control Department, Jiangyin, China",2025 IEEE 7th International Conference on Civil Aviation Safety and Information Technology (ICCASIT),"29 Jan 2026","2025","","","1094","1099","Unlike indoor or terrestrial environments, the maritime environment is characterized by complex lighting and meteorological conditions. For optical measurement devices at sea, various complex meteorological and lighting conditions (such as haze, rain, and snow) can severely degrade the quality of the images captured by electro-optical imaging systems. The resulting images often suffer from significant loss of contrast and blurring or loss of target details, which greatly affect subsequent image interpretation and analysis. To address this issue, this paper proposes an end-to-end network called Cycle-Dehaze for single-image dehazing, which does not require training with paired hazy and corresponding ground-truth images. In other words, we train the network by inputting clean and hazy images in an unpaired manner.","","979-8-3315-0374-1","10.1109/ICCASIT66611.2025.11348714","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11348714","Image dehazing;Atmospheric scattering model;Conditional Generative Adversarial Network (GAN);Joint loss","Training;Optical losses;Image dehazing;Rain;Atmospheric modeling;Snow;Lighting;Scattering;Generative adversarial networks;Safety","","","","15","IEEE","29 Jan 2026","22-24 Oct. 2025","22-24 Oct. 2025","IEEE","IEEE Conferences"
