Document Title,Authors,Author Affiliations,Publication Year,Abstract,DOI,PDF Link,Article Citation Count,Patent Citation Count,Reference Count,Document Identifier
Learning Deep CNN Denoiser Prior for Image Restoration,K. Zhang; W. Zuo; S. Gu; L. Zhang,"School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Dept. of Computing, The Hong Kong Polytechnic University, Hong Kong, China; Dept. of Computing, The Hong Kong Polytechnic University, Hong Kong, China",2017,"Model-based optimization methods and discriminative learning methods have been the two dominant strategies for solving various inverse problems in low-level vision. Typically, those two kinds of methods have their respective merits and drawbacks, e.g., model-based optimization methods are flexible for handling different inverse problems but are usually time-consuming with sophisticated priors for the purpose of good performance, in the meanwhile, discriminative learning methods have fast testing speed but their application range is greatly restricted by the specialized task. Recent works have revealed that, with the aid of variable splitting techniques, denoiser prior can be plugged in as a modular part of model-based optimization methods to solve other inverse problems (e.g., deblurring). Such an integration induces considerable advantage when the denoiser is obtained via discriminative learning. However, the study of integration with fast discriminative denoiser prior is still lacking. To this end, this paper aims to train a set of fast and effective CNN (convolutional neural network) denoisers and integrate them into model-based optimization method to solve other inverse problems. Experimental results demonstrate that the learned set of denoisers can not only achieve promising Gaussian denoising results but also can be used as prior to deliver good performance for various low-level vision applications.",10.1109/CVPR.2017.300,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8099783,1620,1,66,IEEE Conferences
Diffusion Models in Vision: A Survey,F. -A. Croitoru; V. Hondru; R. T. Ionescu; M. Shah,"Department of Computer Science, University of Bucharest, Bucharest, Romania; Department of Computer Science, University of Bucharest, Bucharest, Romania; Department of Computer Science, University of Bucharest, Bucharest, Romania; Department of Computer Science, Center for Research in Computer Vision (CRCV), University of Central Florida, Orlando, FL, USA",2023,"Denoising diffusion models represent a recent emerging topic in computer vision, demonstrating remarkable results in the area of generative modeling. A diffusion model is a deep generative model that is based on two stages, a forward diffusion stage and a reverse diffusion stage. In the forward diffusion stage, the input data is gradually perturbed over several steps by adding Gaussian noise. In the reverse stage, a model is tasked at recovering the original input data by learning to gradually reverse the diffusion process, step by step. Diffusion models are widely appreciated for the quality and diversity of the generated samples, despite their known computational burdens, i.e., low speeds due to the high number of steps involved during sampling. In this survey, we provide a comprehensive review of articles on denoising diffusion models applied in vision, comprising both theoretical and practical contributions in the field. First, we identify and present three generic diffusion modeling frameworks, which are based on denoising diffusion probabilistic models, noise conditioned score networks, and stochastic differential equations. We further discuss the relations between diffusion models and other deep generative models, including variational auto-encoders, generative adversarial networks, energy-based models, autoregressive models and normalizing flows. Then, we introduce a multi-perspective categorization of diffusion models applied in computer vision. Finally, we illustrate the current limitations of diffusion models and envision some interesting directions for future research.",10.1109/TPAMI.2023.3261988,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10081412,1352,,160,IEEE Journals
Low-Dose CT Image Denoising Using a Generative Adversarial Network With Wasserstein Distance and Perceptual Loss,Q. Yang; P. Yan; Y. Zhang; H. Yu; Y. Shi; X. Mou; M. K. Kalra; Y. Zhang; L. Sun; G. Wang,"Department of Biomedical Engineering, Rensselaer Polytechnic Institute, Troy, NY, USA; Department of Biomedical Engineering, Rensselaer Polytechnic Institute, Troy, NY, USA; Department of Electrical and Computer Engineering, University of Massachusetts Lowell, Lowell, MA, USA; Department of Electrical and Computer Engineering, University of Massachusetts Lowell, Lowell, MA, USA; Institute of Image Processing and Pattern Recognition, Xian Jiaotong University, Xian, China; Institute of Image Processing and Pattern Recognition, Xian Jiaotong University, Xian, China; Department of Radiology, Harvard Medical School, Boston, MA, USA; College of Computer Science, Sichuan University, Chengdu, China; Huaxi MR Research Center, West China Hospital, Sichuan University, Chengdu, China; Department of Biomedical Engineering, Rensselaer Polytechnic Institute, Troy, NY, USA",2018,"The continuous development and extensive use of computed tomography (CT) in medical practice has raised a public concern over the associated radiation dose to the patient. Reducing the radiation dose may lead to increased noise and artifacts, which can adversely affect the radiologists’ judgment and confidence. Hence, advanced image reconstruction from low-dose CT data is needed to improve the diagnostic performance, which is a challenging problem due to its ill-posed nature. Over the past years, various low-dose CT methods have produced impressive results. However, most of the algorithms developed for this application, including the recently popularized deep learning techniques, aim for minimizing the mean-squared error (MSE) between a denoised CT image and the ground truth under generic penalties. Although the peak signal-to-noise ratio is improved, MSE- or weighted-MSE-based methods can compromise the visibility of important structural details after aggressive denoising. This paper introduces a new CT image denoising method based on the generative adversarial network (GAN) with Wasserstein distance and perceptual similarity. The Wasserstein distance is a key concept of the optimal transport theory and promises to improve the performance of GAN. The perceptual loss suppresses noise by comparing the perceptual features of a denoised output against those of the ground truth in an established feature space, while the GAN focuses more on migrating the data noise distribution from strong to weak statistically. Therefore, our proposed method transfers our knowledge of visual perception to the image denoising task and is capable of not only reducing the image noise level but also trying to keep the critical information at the same time. Promising results have been obtained in our experiments with clinical CT images.",10.1109/TMI.2018.2827462,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8340157,1348,,48,IEEE Journals
WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing,S. Chen; C. Wang; Z. Chen; Y. Wu; S. Liu; Z. Chen; J. Li; N. Kanda; T. Yoshioka; X. Xiao; J. Wu; L. Zhou; S. Ren; Y. Qian; Y. Qian; J. Wu; M. Zeng; X. Yu; F. Wei,"Department of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Nankai University, Tianjin, China; Shanghai Jiao Tong University, Shanghai, China; Microsoft Research Asia, Beijing, China; Microsoft Research Asia, Beijing, China; Microsoft Corp., Redmond, WA, USA; Microsoft Corp., Redmond, WA, USA; Microsoft Corp., Redmond, WA, USA; Microsoft Corp., Redmond, WA, USA; Microsoft Corp., Redmond, WA, USA; Microsoft Corp., Redmond, WA, USA; Microsoft Research Asia, Beijing, China; Microsoft Research Asia, Beijing, China; Shanghai Jiao Tong University, Shanghai, China; Microsoft Corp., Redmond, WA, USA; Microsoft Corp., Redmond, WA, USA; Microsoft Corp., Redmond, WA, USA; Department of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Microsoft Research Asia, Beijing, China",2022,"Self-supervised learning (SSL) achieves great success in speech recognition, while limited exploration has been attempted for other speech processing tasks. As speech signal contains multi-faceted information including speaker identity, paralinguistics, spoken content, etc., learning universal representations for all speech tasks is challenging. To tackle the problem, we propose a new pre-trained model, WavLM, to solve full-stack downstream speech tasks. WavLM jointly learns masked speech prediction and denoising in pre-training. By this means, WavLM does not only keep the speech content modeling capability by the masked speech prediction, but also improves the potential to non-ASR tasks by the speech denoising. In addition, WavLM employs gated relative position bias for the Transformer structure to better capture the sequence ordering of input speech. We also scale up the training dataset from 60 k hours to 94 k hours. WavLM Large achieves state-of-the-art performance on the SUPERB benchmark, and brings significant improvements for various speech processing tasks on their representative benchmarks.",10.1109/JSTSP.2022.3188113,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9814838,1288,,88,IEEE Journals
RePaint: Inpainting using Denoising Diffusion Probabilistic Models,A. Lugmayr; M. Danelljan; A. Romero; F. Yu; R. Timofte; L. Van Gool,"Computer Vision Lab, ETH Zürich, Switzerland; Computer Vision Lab, ETH Zürich, Switzerland; Computer Vision Lab, ETH Zürich, Switzerland; Computer Vision Lab, ETH Zürich, Switzerland; Computer Vision Lab, ETH Zürich, Switzerland; Computer Vision Lab, ETH Zürich, Switzerland",2022,"Free-form inpainting is the task of adding new content to an image in the regions specified by an arbitrary binary mask. Most existing approaches train for a certain distribution of masks, which limits their generalization capabilities to unseen mask types. Furthermore, training with pixel-wise and perceptual losses often leads to simple textural extensions towards the missing areas instead of semantically meaningful generation. In this work, we propose RePaint: A Denoising Diffusion Probabilistic Model (DDPM) based inpainting approach that is applicable to even extreme masks. We employ a pretrained unconditional DDPM as the generative prior. To condition the generation process, we only alter the reverse diffusion iterations by sampling the unmasked regions using the given image infor-mation. Since this technique does not modify or condition the original DDPM network itself, the model produces high-quality and diverse output images for any inpainting form. We validate our method for both faces and general-purpose image inpainting using standard and extreme masks. Re-Paint outperforms state-of-the-art Autoregressive, and GAN approaches for at least five out of six mask distributions. Github Repository: git.io/RePaint",10.1109/CVPR52688.2022.01117,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9880056,1284,,55,IEEE Conferences
Learning to See in the Dark,C. Chen; Q. Chen; J. Xu; V. Koltun,UIUC; Intel Labs; Intel Labs; Intel Labs,2018,"Imaging in low light is challenging due to low photon count and low SNR. Short-exposure images suffer from noise, while long exposure can induce blur and is often impractical. A variety of denoising, deblurring, and enhancement techniques have been proposed, but their effectiveness is limited in extreme conditions, such as video-rate imaging at night. To support the development of learning-based pipelines for low-light image processing, we introduce a dataset of raw short-exposure low-light images, with corresponding long-exposure reference images. Using the presented dataset, we develop a pipeline for processing low-light images, based on end-to-end training of a fully-convolutional network. The network operates directly on raw sensor data and replaces much of the traditional image processing pipeline, which tends to perform poorly on such data. We report promising results on the new dataset, analyze factors that affect performance, and highlight opportunities for future work.",10.1109/CVPR.2018.00347,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8578445,1162,5,43,IEEE Conferences
Deep Image Prior,V. Lempitsky; A. Vedaldi; D. Ulyanov,"Skolkovo Institute of Science and Technology, Yandex; University of Oxford; Skolkovo Institute of Science and Technology (Skoltech)",2018,"Deep convolutional networks have become a popular tool for image generation and restoration. Generally, their excellent performance is imputed to their ability to learn realistic image priors from a large number of example images. In this paper, we show that, on the contrary, the structure of a generator network is sufficient to capture a great deal of low-level image statistics prior to any learning. In order to do so, we show that a randomly-initialized neural network can be used as a handcrafted prior with excellent results in standard inverse problems such as denoising, superresolution, and inpainting. Furthermore, the same prior can be used to invert deep neural representations to diagnose them, and to restore images based on flash-no flash input pairs. Apart from its diverse applications, our approach highlights the inductive bias captured by standard generator network architectures. It also bridges the gap between two very popular families of image restoration methods: learning-based methods using deep convolutional networks and learning-free methods based on handcrafted image priors such as self-similarity.",10.1109/CVPR.2018.00984,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579082,1126,1,33,IEEE Conferences
Structure-Revealing Low-Light Image Enhancement Via Robust Retinex Model,M. Li; J. Liu; W. Yang; X. Sun; Z. Guo,"Institute of Computer Science and Technology, Peking University, Beijing, China; Institute of Computer Science and Technology, Peking University, Beijing, China; Institute of Computer Science and Technology, Peking University, Beijing, China; Internet Media Group, Microsoft Research Asia, Beijing, China; Institute of Computer Science and Technology, Peking University, Beijing, China",2018,"Low-light image enhancement methods based on classic Retinex model attempt to manipulate the estimated illumination and to project it back to the corresponding reflectance. However, the model does not consider the noise, which inevitably exists in images captured in low-light conditions. In this paper, we propose the robust Retinex model, which additionally considers a noise map compared with the conventional Retinex model, to improve the performance of enhancing low-light images accompanied by intensive noise. Based on the robust Retinex model, we present an optimization function that includes novel regularization terms for the illumination and reflectance. Specifically, we use ℓ1 norm to constrain the piece-wise smoothness of the illumination, adopt a fidelity term for gradients of the reflectance to reveal the structure details in low-light images, and make the first attempt to estimate a noise map out of the robust Retinex model. To effectively solve the optimization problem, we provide an augmented Lagrange multiplier based alternating direction minimization algorithm without logarithmic transformation. Experimental results demonstrate the effectiveness of the proposed method in low-light image enhancement. In addition, the proposed method can be generalized to handle a series of similar problems, such as the image enhancement for underwater or remote sensing and in hazy or dusty conditions.",10.1109/TIP.2018.2810539,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8304597,1117,,44,IEEE Journals
Trainable Nonlinear Reaction Diffusion: A Flexible Framework for Fast and Effective Image Restoration,Y. Chen; T. Pock,"Institute for Computer Graphics and Vision, Graz University of Technology, Graz, Austria; Institute for Computer Graphics and Vision, Graz University of Technology, Graz, Austria",2017,"Image restoration is a long-standing problem in low-level computer vision with many interesting applications. We describe a flexible learning framework based on the concept of nonlinear reaction diffusion models for various image restoration problems. By embodying recent improvements in nonlinear diffusion models, we propose a dynamic nonlinear reaction diffusion model with time-dependent parameters (i.e., linear filters and influence functions). In contrast to previous nonlinear diffusion models, all the parameters, including the filters and the influence functions, are simultaneously learned from training data through a loss based approach. We call this approach TNRD—Trainable Nonlinear Reaction Diffusion. The TNRD approach is applicable for a variety of image restoration tasks by incorporating appropriate reaction force. We demonstrate its capabilities with three representative applications, Gaussian image denoising, single image super resolution and JPEG deblocking. Experiments show that our trained nonlinear diffusion models largely benefit from the training of the parameters and finally lead to the best reported performance on common test datasets for the tested applications. Our trained models preserve the structural simplicity of diffusion models and take only a small number of diffusion steps, thus are highly efficient. Moreover, they are also well-suited for parallel computation on GPUs, which makes the inference procedure extremely fast.",10.1109/TPAMI.2016.2596743,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7527621,1085,,60,IEEE Journals
Image Super-Resolution via Iterative Refinement,C. Saharia; J. Ho; W. Chan; T. Salimans; D. J. Fleet; M. Norouzi,"Google Research, Brain Team, Toronto, ON, Canada; Google Research, Brain Team, Toronto, ON, Canada; Google Research, Brain Team, Toronto, ON, Canada; Google Research, Brain Team, Toronto, ON, Canada; Google Research, Brain Team, Toronto, ON, Canada; Google Research, Brain Team, Toronto, ON, Canada",2023,"We present SR3, an approach to image Super-Resolution via Repeated Refinement. SR3 adapts denoising diffusion probabilistic models (Ho et al. 2020), (Sohl-Dickstein et al. 2015) to image-to-image translation, and performs super-resolution through a stochastic iterative denoising process. Output images are initialized with pure Gaussian noise and iteratively refined using a U-Net architecture that is trained on denoising at various noise levels, conditioned on a low-resolution input image. SR3 exhibits strong performance on super-resolution tasks at different magnification factors, on faces and natural images. We conduct human evaluation on a standard 8× face super-resolution task on CelebA-HQ for which SR3 achieves a fool rate close to 50%, suggesting photo-realistic outputs, while GAN baselines do not exceed a fool rate of 34%. We evaluate SR3 on a 4× super-resolution task on ImageNet, where SR3 outperforms baselines in human evaluation and classification accuracy of a ResNet-50 classifier trained on high-resolution images. We further show the effectiveness of SR3 in cascaded image generation, where a generative model is chained with super-resolution models to synthesize high-resolution images with competitive FID scores on the class-conditional 256×256 ImageNet generation challenge.",10.1109/TPAMI.2022.3204461,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9887996,1082,,76,IEEE Journals
