Document Title,Authors,Author Affiliations,Publication Year,Abstract,DOI,PDF Link,Author Keywords,Article Citation Count,Patent Citation Count,Reference Count
A Variational Framework for Underwater Image Dehazing and Deblurring,J. Xie; G. Hou; G. Wang; Z. Pan,"College of Computer Science and Technology, Qingdao University, Qingdao, China; College of Computer Science and Technology, Qingdao University, Qingdao, China; College of Computer Science and Technology, Qingdao University, Qingdao, China; College of Computer Science and Technology, Qingdao University, Qingdao, China",2022,"Underwater captured images are usually degraded by low contrast, hazy, and blurry due to absorbing and scattering, which limits their analyses and applications. To address these problems, a red channel prior guided variational framework is proposed based on the complete underwater image formation model (UIFM). Unlike most of the existing methods that only consider the direct transmission and backscattering components, we additionally include forward scattering component into the UIFM. In the proposed variational framework, we successfully incorporate the normalized total variation item and sparse prior knowledge of blur kernel together. In addition, we perform the estimation of blur kernel by varying image resolution in a coarse-to-fine manner to avoid local minima. Moreover, for solving the generated non-smooth optimization problem, we employ the alternating direction method of multipliers (ADMM) to accelerate the whole progress. Experimental results demonstrate that the proposed method has a good performance on dehazing and deblurring. Extensive qualitative and quantitative comparisons further validate its superiority against the other state-of-the-art algorithms. The code is available online at: https://github.com/Hou-Guojia/UNTV",10.1109/TCSVT.2021.3115791,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9548907,Complete UIFM;dehazing and deblurring;variational model;ADMM,205,,60
Blind Image Deblurring With Local Maximum Gradient Prior,L. Chen; F. Fang; T. Wang; G. Zhang,"Shanghai Key Laboratory of Multidimensional Information Processing, and Department of Computer Science and Technology, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Multidimensional Information Processing, and Department of Computer Science and Technology, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Multidimensional Information Processing, and Department of Computer Science and Technology, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Multidimensional Information Processing, and Department of Computer Science and Technology, East China Normal University, Shanghai, China",2019,"Blind image deblurring aims to recover sharp image from a blurred one while the blur kernel is unknown. To solve this ill-posed problem, a great amount of image priors have been explored and employed in this area. In this paper, we present a blind deblurring method based on Local Maximum Gradient (LMG) prior. Our work is inspired by the simple and intuitive observation that the maximum value of a local patch gradient will diminish after the blur process, which is proved to be true both mathematically and empirically. This inherent property of blur process helps us to establish a new energy function. By introducing an liner operator to compute the Local Maximum Gradient, together with an effective optimization scheme, our method can handle various specific scenarios. Extensive experimental results illustrate that our method is able to achieve favorable performance against state-of-the-art algorithms on both synthetic and real-world images.",10.1109/CVPR.2019.00184,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8953398,Low-level Vision;Optimization Methods,190,,31
Spatio-Temporal Filter Adaptive Network for Video Deblurring,S. Zhou; J. Zhang; J. Pan; W. Zuo; H. Xie; J. Ren,"SenseTime Research, Nanjing, China; SenseTime Research, Nanjing, China; Nanjing University of Science and Technology, Nanjing, China; Harbin Institute of Technology, Harbin, China; SenseTime Research, Nanjing, China; SenseTime Research, Nanjing, China",2019,"Video deblurring is a challenging task due to the spatially variant blur caused by camera shake, object motions, and depth variations, etc. Existing methods usually estimate optical flow in the blurry video to align consecutive frames or approximate blur kernels. However, they tend to generate artifacts or cannot effectively remove blur when the estimated optical flow is not accurate. To overcome the limitation of separate optical flow estimation, we propose a Spatio-Temporal Filter Adaptive Network (STFAN) for the alignment and deblurring in a unified framework. The proposed STFAN takes both blurry and restored images of the previous frame as well as blurry image of the current frame as input, and dynamically generates the spatially adaptive filters for the alignment and deblurring. We then propose the new Filter Adaptive Convolutional (FAC) layer to align the deblurred features of the previous frame with the current frame and remove the spatially variant blur from the features of the current frame. Finally, we develop a reconstruction network which takes the fusion of two transformed features to restore the clear frames. Both quantitative and qualitative evaluation results on the benchmark datasets and real-world videos demonstrate that the proposed algorithm performs favorably against state-of-the-art methods in terms of accuracy, speed as well as model size.",10.1109/ICCV.2019.00257,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9010007,,180,,46
Image Restoration by Iterative Denoising and Backward Projections,T. Tirer; R. Giryes,"School of Electrical Engineering, Tel Aviv University, Tel Aviv, Israel; School of Electrical Engineering, Tel Aviv University, Tel Aviv, Israel",2019,"Inverse problems appear in many applications, such as image deblurring and inpainting. The common approach to address them is to design a specific algorithm for each problem. The Plug-and-Play (P&P) framework, which has been recently introduced, allows solving general inverse problems by leveraging the impressive capabilities of existing denoising algorithms. While this fresh strategy has found many applications, a burdensome parameter tuning is often required in order to obtain high-quality results. In this paper, we propose an alternative method for solving inverse problems using off-the-shelf denoisers, which requires less parameter tuning. First, we transform a typical cost function, composed of fidelity and prior terms, into a closely related, novel optimization problem. Then, we propose an efficient minimization scheme with a P&P property, i.e., the prior term is handled solely by a denoising operation. Finally, we present an automatic tuning mechanism to set the method's parameters. We provide a theoretical analysis of the method and empirically demonstrate its competitiveness with task-specific techniques and the P&P approach for image inpainting and deblurring.",10.1109/TIP.2018.2875569,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489894,Plug-and-play;inverse problems;image restoration;image denoising;image deblurring;image inpainting;denoising neural network,174,,40
Low-Rank Quaternion Approximation for Color Image Processing,Y. Chen; X. Xiao; Y. Zhou,"Department of Computer and Information Science, University of Macau, Macau, China; Department of Computer and Information Science, University of Macau, Macau, China; Department of Computer and Information Science, University of Macau, Macau, China",2020,"Low-rank matrix approximation (LRMA)-based methods have made a great success for grayscale image processing. When handling color images, LRMA either restores each color channel independently using the monochromatic model or processes the concatenation of three color channels using the concatenation model. However, these two schemes may not make full use of the high correlation among RGB channels. To address this issue, we propose a novel low-rank quaternion approximation (LRQA) model. It contains two major components: first, instead of modeling a color image pixel as a scalar in conventional sparse representation and LRMA-based methods, the color image is encoded as a pure quaternion matrix, such that the cross-channel correlation of color channels can be well exploited; second, LRQA imposes the low-rank constraint on the constructed quaternion matrix. To better estimate the singular values of the underlying low-rank quaternion matrix from its noisy observation, a general model for LRQA is proposed based on several nonconvex functions. Extensive evaluations for color image denoising and inpainting tasks verify that LRQA achieves better performance over several state-of-the-art sparse representation and LRMA-based methods in terms of both quantitative metrics and visual quality.",10.1109/TIP.2019.2941319,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8844978,Low-rank matrix approximation;image denoising;image inpainting;quaternion singular value decomposition;nonconvex approximation,158,,60
Graph-Based Blind Image Deblurring From a Single Photograph,Y. Bai; G. Cheung; X. Liu; W. Gao,"Peng Cheng Laboratory, Shenzhen, China; Department of Electrical Engineering and Computer Science, York University, Toronto, ON, Canada; Peng Cheng Laboratory, Shenzhen, China; Peng Cheng Laboratory, Shenzhen, China",2019,"Blind image deblurring, i.e., deblurring without knowledge of the blur kernel, is a highly ill-posed problem. The problem can be solved in two parts: 1) estimate a blur kernel from the blurry image, and 2) given an estimated blur kernel, de-convolve the blurry input to restore the target image. In this paper, we propose a graph-based blind image deblurring algorithm by interpreting an image patch as a signal on a weighted graph. Specifically, we first argue that a skeleton image - a proxy that retains the strong gradients of the target but smooths out the details - can be used to accurately estimate the blur kernel and has a unique bi-modal edge weight distribution. Then, we design a reweighted graph total variation (RGTV) prior that can efficiently promote a bimodal edge weight distribution given a blurry patch. Further, to analyze RGTV in the graph frequency domain, we introduce anew weight function to represent RGTV as a graph l1-Laplacian regularizer. This leads to a graph spectral filtering interpretation of the prior with desirable properties, including robustness to noise and blur, strong piecewise smooth filtering, and sharpness promotion. Minimizing a blind image deblurring objective with RGTV results in a non-convex non-differentiable optimization problem. Leveraging the new graph spectral interpretation for RGTV, we design an efficient algorithm that solves for the skeleton image and the blur kernel alternately. Specifically for Gaussian blur, we propose a further speedup strategy for blind Gaussian deblurring using accelerated graph spectral filtering. Finally, with the computed blur kernel, recent non-blind image deblurring algorithms can be applied to restore the target image. Experimental results demonstrate that our algorithm successfully restores latent sharp images and outperforms the state-of-the-art methods quantitatively and qualitatively.",10.1109/TIP.2018.2874290,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8488519,Blind image deblurring;graph signal processing;non-convex optimization,157,,56
Efficient and Interpretable Deep Blind Image Deblurring Via Algorithm Unrolling,Y. Li; M. Tofighi; J. Geng; V. Monga; Y. C. Eldar,"Department of Electrical Engineering, The Pennsylvania State University, University Park, PA, USA; Department of Electrical Engineering, The Pennsylvania State University, University Park, PA, USA; Department of Aerospace Engineering, The Pennsylvania State University, University Park, PA, USA; Department of Electrical Engineering, The Pennsylvania State University, University Park, PA, USA; Department of Electrical Engineering, Faculty of Math and Computer Science, Weizmann Institute of Science, Rehovot, Israel",2020,"Blind image deblurring remains a topic of enduring interest. Learning based approaches, especially those that employ neural networks have emerged to complement traditional model based methods and in many cases achieve vastly enhanced performance. That said, neural network approaches are generally empirically designed and the underlying structures are difficult to interpret. In recent years, a promising technique called algorithm unrolling has been developed that has helped connect iterative algorithms such as those for sparse coding to neural network architectures. In this article, we propose a neural network architecture based on this idea. We first present an iterative algorithm that may be considered as a generalization of the traditional total-variation regularization method in the gradient domain. We then unroll the algorithm to construct a neural network for image deblurring which we refer to as Deep Unrolling for Blind Deblurring (DUBLID). Key algorithm parameters are learned with the help of training images. Our proposed deep network DUBLID achieves significant practical performance gains while enjoying interpretability and efficiency at the same time. Extensive experimental results show that DUBLID outperforms many state-of-the-art methods and in addition is computationally faster.",10.1109/TCI.2020.2964202,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8950351,Image deblurring;deconvolution;deep learning;algorithm unrolling;interpretable deep networks,155,,85
A Simple Local Minimal Intensity Prior and an Improved Algorithm for Blind Image Deblurring,F. Wen; R. Ying; Y. Liu; P. Liu; T. -K. Truong,"Department of Electronic Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Electronic Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Information and Communication Engineering, University of Electronic Science and Technology of China, Chengdu, China; Department of Electronic Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Electronic Engineering, Shanghai Jiao Tong University, Shanghai, China",2021,"Blind image deblurring is a long standing challenging problem in image processing and low-level vision. Recently, sophisticated priors such as dark channel prior, extreme channel prior, and local maximum gradient prior, have shown promising effectiveness. However, these methods are computationally expensive. Meanwhile, since these priors involved subproblems cannot be solved explicitly, approximate solution is commonly used, which limits the best exploitation of their capability. To address these problems, this work firstly proposes a simplified sparsity prior of local minimal pixels, namely patch-wise minimal pixels (PMP). The PMP of clear images is much more sparse than that of blurred ones, and hence is very effective in discriminating between clear and blurred images. Then, a novel algorithm is designed to efficiently exploit the sparsity of PMP in deblurring. The new algorithm flexibly imposes sparsity inducing on the PMP under the maximum a posterior (MAP) framework rather than directly uses the half quadratic splitting algorithm. By this, it avoids non-rigorous approximation solution in existing algorithms, while being much more computationally efficient. Extensive experiments demonstrate that the proposed algorithm can achieve better practical stability compared with state-of-the-arts. In terms of deblurring quality, robustness and computational efficiency, the new algorithm is superior to state-of-the-arts. Code for reproducing the results of the new method is available at https://github.com/FWen/deblur-pmp.git.",10.1109/TCSVT.2020.3034137,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9241002,Image deblurring;blind deblurring;sparsity inducing;local minimal pixels;intensity sparsity prior,153,,51
Image Restoration Using Total Variation Regularized Deep Image Prior,J. Liu; Y. Sun; X. Xu; U. S. Kamilov,"Department of Electrical and Systems Engineering, Washington University in St. Louis, St. Louis, MO; Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO; Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO; Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO",2019,"In the past decade, sparsity-driven regularization has led to significant improvements in image reconstruction. Traditional regularizers, such as total variation (TV), rely on analytical models of sparsity. However, increasingly the field is moving towards trainable models, inspired from deep learning. Deep image prior (DIP) is a recent regularization framework that uses a convolutional neural network (CNN) architecture without data-driven training. This paper extends the DIP framework by combining it with the traditional TV regularization. We show that the inclusion of TV leads to considerable performance gains when tested on several traditional restoration tasks such as image denoising and deblurring.",10.1109/ICASSP.2019.8682856,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8682856,Image reconstruction;image restoration;deep learning;deep image prior;total variation regularization,137,,31
Unsupervised Domain-Specific Deblurring via Disentangled Representations,B. Lu; J. -C. Chen; R. Chellappa,"UMIACS, University of Maryland, College Park; UMIACS, University of Maryland, College Park; UMIACS, University of Maryland, College Park",2019,"Image deblurring aims to restore the latent sharp images from the corresponding blurred ones. In this paper, we present an unsupervised method for domain-specific, single-image deblurring based on disentangled representations. The disentanglement is achieved by splitting the content and blur features in a blurred image using content encoders and blur encoders. We enforce a KL divergence loss to regularize the distribution range of extracted blur attributes such that little content information is contained. Meanwhile, to handle the unpaired training data, a blurring branch and the cycle-consistency loss are added to guarantee that the content structures of the deblurred results match the original images. We also add an adversarial loss on deblurred results to generate visually realistic images and a perceptual loss to further mitigate the artifacts. We perform extensive experiments on the tasks of face and text deblurring using both synthetic datasets and real images, and achieve improved results compared to recent state-of-the-art deblurring methods.",10.1109/CVPR.2019.01047,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8953315,Low-level Vision;Deep Learning,134,,45
Motion Blur Kernel Estimation via Deep Learning,X. Xu; J. Pan; Y. -J. Zhang; M. -H. Yang,"Department of Electronic Engineering, Tsinghua University, Beijing, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; School of Engineering, University of California at Merced, Merced, CA, USA",2018,"The success of the state-of-the-art deblurring methods mainly depends on the restoration of sharp edges in a coarse-to-fine kernel estimation process. In this paper, we propose to learn a deep convolutional neural network for extracting sharp edges from blurred images. Motivated by the success of the existing filtering-based deblurring methods, the proposed model consists of two stages: suppressing extraneous details and enhancing sharp edges. We show that the two-stage model simplifies the learning process and effectively restores sharp edges. Facilitated by the learned sharp edges, the proposed deblurring algorithm does not require any coarse-to-fine strategy or edge selection, thereby significantly simplifying kernel estimation and reducing computation load. Extensive experimental results on challenging blurry images demonstrate that the proposed algorithm performs favorably against the state-of-the-art methods on both synthetic and real-world images in terms of visual quality and run-time.",10.1109/TIP.2017.2753658,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8039224,Blind image deblurring;kernel estimation;deep convolutional neural network;sharp edges,129,,42
