Document Title,Authors,Author Affiliations,Publication Year,Abstract,DOI,PDF Link,Author Keywords,Article Citation Count,Patent Citation Count,Reference Count
Object Detection in Foggy Conditions by Fusion of Saliency Map and YOLO,S. Katyal; S. Kumar; R. Sakhuja; S. Gupta,"Department of Computer Engineering, Delhi Technological University, Delhi, India; Department of Computer Engineering, Delhi Technological University, Delhi, India; Department of Computer Engineering, Delhi Technological University, Delhi, India; Department of Computer Engineering, Delhi Technological University, Delhi, India",2018,"Under foggy conditions, visibility decreases and causes many problems. Less visibility due to foggy conditions while driving increases the risk of road accidents. It is important to detect and recognize the nearby objects under such conditions and predict the distance of collision. There is a need to devise an object detection mechanism during foggy conditions. The paper proposes a solution to this problem by proposing a VESY(Visibility Enhancement Saliency YOLO) sensor which uses an algorithm that fuses the saliency map of the foggy image frame with the output generated from object detection algorithm YOLO (You Only Look Once). The image is sensed using image sensors in a stereo camera which are activated using a fog sensor and a depth map is generated to calculate the distance of collision. Dehaze algorithm is applied to improve the quality of the image frame whose Saliency image is generated on the basis of region covariance matrix. YOLO algorithm is also implemented on the improved quality image. The proposed fusion algorithm gives the bounding boxes of the union of the objects detected by Saliency Map and YOLO Algorithm thus proving to be a viable solution for real-time applications.",10.1109/ICSensT.2018.8603632,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8603632,Saliency map;YOLO;depth map;dehaze;fusion,24,,16
Dehaze-TGGAN: Transformer-Guide Generative Adversarial Networks With Spatial-Spectrum Attention for Unpaired Remote Sensing Dehazing,Y. Zheng; J. Su; S. Zhang; M. Tao; L. Wang,"School of Electronics and Information, Northwestern Polytechnical University, Xi’an, China; School of Electronics and Information, Northwestern Polytechnical University, Xi’an, China; School of Electronics and Information, Northwestern Polytechnical University, Xi’an, China; School of Electronics and Information, Northwestern Polytechnical University, Xi’an, China; School of Electronics and Information, Northwestern Polytechnical University, Xi’an, China",2024,"Satellite imagery plays a critical role in target detection. However, the quality and usability of optical remote sensing images can be severely compromised by atmospheric conditions, particularly haze, which significantly reduces the recognition accuracy of target detection algorithms such as ships. On the other hand, paired training data, i.e., the remote sensing data with or without fog at the same place, are difficult to obtain in real-world scenarios, leading to the failure of many existing dehazing methods. To deal with these issues, this article proposes a Transformer-Guide CycleGAN framework generative adversarial networks (Dehaze-TGGAN) incorporating an extra attention mechanism from the frequency domain. First, an SSA mechanism is proposed by using a 2-D fast Fourier transform (2D FFT) in the spatial domain, which enables the model to understand the relationships within the three-channel frequency domain information and to recover the spectral features of the hazy image through the spectrum encoder block. Then, a pre-training approach using semi-transparent masks (STM), which can effectively simulate hazy conditions by adjusting the transparency of masks, is presented as a key strategy to accelerate the convergence rate. Finally, the applicability of the transformer architecture is extended by incorporating total variation loss (TV Loss). The results of simulated and measured optical remote sensing data show that the recognition accuracy and the efficiency of the proposed algorithm are greatly improved.",10.1109/TGRS.2024.3435470,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10614150,Dehaze;generative adversarial networks (GANs);semi-transparent masks (STMs);spatial-spectrum attention (SSA);total variation loss (TV Loss);transformer,22,,60
Multi-Scale Adaptive Dehazing Network,S. Chen; Y. Chen; Y. Qu; J. Huang; M. Hong,"Fujian Key Laboratory of Sensing and Computing for Smart City, School of Information Science and Engineering, Xiamen University, Fujian, China; Fujian Key Laboratory of Sensing and Computing for Smart City, School of Information Science and Engineering, Xiamen University, Fujian, China; Fujian Key Laboratory of Sensing and Computing for Smart City, School of Information Science and Engineering, Xiamen University, Fujian, China; Fujian Key Laboratory of Sensing and Computing for Smart City, School of Information Science and Engineering, Xiamen University, Fujian, China; Fujian Key Laboratory of Sensing and Computing for Smart City, School of Information Science and Engineering, Xiamen University, Fujian, China",2019,"Since haze degrades an image including contrast decreasing and color lost, which has a negative effect on the subsequent object detection and recognition. single image dehazing is a challenging visual task. Most existing dehazing methods are not robust to uneven haze. In this paper, we developed an adaptive distillation network to solve the dehaze problem with non-uniform haze, which does not rely on the physical scattering model. The proposed model consists of two parts: an adaptive distillation module and a multi-scale enhancing module. The adaptive distillation block reassigns the channel feature response via adaptively weighting the input maps. And then the important feature maps are separated from the trivial for further focused learning. After that, a multi-scale enhancing module containing two pyramid downsampling layers is employed to fuse the context features for haze-free images restoration in a coarse-to-fine way. Extensive experimental results on synthetic and real datasets demonstrates that the proposed approach outperforms the state-of-the-arts in both quantitative and qualitative evaluations.",10.1109/CVPRW.2019.00257,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9025519,,21,,23
Polarization Guided Autoregressive Model for Depth Recovery,M. Reda; Y. Zhao; J. C. -W. Chan,"School of Automation, Northwestern Polytechnical University, Xi'an, China; School of Automation, Northwestern Polytechnical University, Xi'an, China; Department of Electronics and Informatics, Vrije Universiteit Brussel, Brussels, Belgium",2017,"The Instant Dehaze method used polarized images to obtain a dehazed image and an estimated depth map of the scene. Haze due to atmospheric absorption and scattering causes degradation in image quality and the estimated depth. This estimated depth is misrepresented due to high degree of polarization and scene's objects directly illuminated by the sun. In this paper, a polarization guided autoregressive (AR) model for depth recovery is presented. This proposed method restores the estimated depth map by incorporating polarized data to an adaptive AR model. First a 90° polarized image is used in our polarization term of AR coefficient, then the Stokes vector component S1 is used in our polarization guided depth map in the depth term of AR coefficient. The experimental results show that our method outperforms existing state-of-the-art schemes and improves conventional polarization dehazing method.",10.1109/JPHOT.2017.2706748,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7932444,Imaging;scattering;visualization;optical and other.,21,,48
An single image dehazing algorithm using sky detection and segmentation,Y. -b. Zhu; J. -m. Liu; Y. -g. Hao,"School of Information and Communication Engineering, Dalian University of Technology, Dalian, China; School of Information and Communication Engineering, Dalian University of Technology, Dalian, China; School of Information and Communication Engineering, Dalian University of Technology, Dalian, China",2014,"Image dehazing has always been a focus of wide attention in recent years with great breakthrough. However, the existed algorithms may produce noise and color distortion in the process of image restoration, especially in the sky region. In this paper, an improved dark channel prior algorithm is proposed, which detects the sky firstly and divides the image into sky region and nonsky region, and then estimates the transmissions of the two parts separately, followed by the combination with a refining step. The results show that more natural images can be restored in the process of image dehazing, whether there is a sky area or not.",10.1109/CISP.2014.7003786,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7003786,dehaze;sky detection;image segmentation;dark channel prior,20,,11
Recurrent Context Aggregation Network for Single Image Dehazing,C. Wang; R. Chen; Y. Lu; Y. Yan; H. Wang,"School of Informatics, Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, Xiamen, China; School of Informatics, Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, Xiamen, China; School of Informatics, Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, Xiamen, China; School of Informatics, Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, Xiamen, China; School of Informatics, Fujian Key Laboratory of Sensing and Computing for Smart City, Xiamen University, Xiamen, China",2021,"Existing learning-based dehazing methods are prone to cause excessive dehazing and failure to dense haze, mainly because that the global features of hazy images are not fully utilized, while the local features of hazy images are not enough discriminative. In this letter, we propose a Recurrent Context Aggregation Network (RCAN) to effectively dehaze images and restore color fidelity. In RCAN, an efficient and generic module, called Context Aggression Block (CAB), is designed to improve the feature representation by taking advantage of both global and local features, which are complementary for robust dehazing because that local features can capture different levels of haze, and global features can focus on textures and object edges of a whole image. In addition, RCAN adopts a deep recurrent mechanism to improve the dehazing performance without introducing additional network parameters. Extensive experimental results on both synthetic and real-world datasets show that the proposed RCAN performs better than other state-of-the-art dehazing methods.",10.1109/LSP.2021.3056961,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9350156,Single image dehazing;global and local learning;deep recurrent mechanism,20,,26
TransER: Hybrid Model and Ensemble-based Sequential Learning for Non-homogenous Dehazing,T. Hoang; H. Zhang; A. Yazdani; V. Monga,"School of Electrical Engineering and Computer Science, Pennsylvania State University, Unversity Park, USA; School of Electrical Engineering and Computer Science, Pennsylvania State University, Unversity Park, USA; School of Electrical Engineering and Computer Science, Pennsylvania State University, Unversity Park, USA; School of Electrical Engineering and Computer Science, Pennsylvania State University, Unversity Park, USA",2023,"Image dehazing is one of the most challenging imaging inverse problems that estimates the haze-free images from hazy ones. While recent transformer/convolutional neural network-based methods have shown excellent performance in handling both homogeneous and non-homogeneous dehazing problems, these networks are often trained end-to-end to estimate the haze-free image directly and require a large number of parameters. In this work, we propose a novel, lightweight two-stage deep network for non-homogeneous dehazing. In particular, our proposed method, denoted as TransER, consists of two separate deep neural networks which are TransConv Fusion Dehaze (TFD) model in Stage I and Lightweight Ensemble Reconstruction (LER) network in Stage II. The first model (TFD) using transformer-based encoder and decoders generates two estimates of the haze-free image: a parameter-based dehazed output based on the physical modeling of the problem and a pseudo haze-free output generated directly by the model in an end-to-end fashion. LER in stage II reconstructs the final dehazed output fusing the two estimates from stage I. We incorporate knowledge distillation to develop a teacher network with the same architecture as LER, allowing it to supervise the intermediate features. Extensive experiments performed on challenging real and synthetic scene image datasets (NTIRE 2019-2023, and RESIDE-indoor) demonstrate that TransER can outperform many state-of-the-art competing methods while using a significantly lower number of parameters. The source code is available at https://github.com/trungpsu1210/TransER.",10.1109/CVPRW59228.2023.00168,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10208799,,20,,57
Efficient Dehazing Method for Outdoor and Remote Sensing Images,C. Li; H. Yu; S. Zhou; Z. Liu; Y. Guo; X. Yin; W. Zhang,"School of Aerospace Science and Technology, Xidian University, Xi'an, China; School of Aerospace Science and Technology, Xidian University, Xi'an, China; School of Aerospace Science and Technology, Xidian University, Xi'an, China; School of Aerospace Science and Technology, Xidian University, Xi'an, China; School of Aerospace Science and Technology, Xidian University, Xi'an, China; School of Aerospace Science and Technology, Xidian University, Xi'an, China; School of Aerospace Science and Technology, Xidian University, Xi'an, China",2023,"As an atmospheric phenomenon, haze significantly reduces the visibility of outdoor and remote sensing images. As remote sensing and outdoor imaging have different mechanisms, existing dehazing methods are hard to be applied for both outdoor images and remote sensing images. In this article, an efficient dehazing method is proposed which can be applied to both outdoor and remote sensing images. The proposed method has the advantages of both dehazing methods based on image enhancement and image restoration methods. To address the problem of inaccurate calculation of transmittance in existing methods, a Gaussian-weighted image fusion is introduced to obtain a refined transmittance. In addition, to solve the problem of image color distortion after dehazing, an unsharp mask method is used to correct the dehazed image. Experiments on the synthetic dataset and real dataset show that the proposed method is able to dehaze both the outdoor and remote sensing images and outperforms existing methods by visual inspection. On the RICE remote sensing image dataset, the proposed method has an image peak signal-to-noise ratio of 27.08 and structural similarity of 0.94, which are higher than other methods.",10.1109/JSTARS.2023.3274779,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10122596,Dark channel prior (DCP);image dehazing;image restoration;remote sensing (RS);Retinex;transmittance,19,,67
Day/night unconstrained image dehazing,S. Santra; B. Chanda,"Electronics and Communication Sciences Unit, Indian Statistical Institute, Kolkata, India; Electronics and Communication Sciences Unit, Indian Statistical Institute, Kolkata, India",2016,Images taken under fog or haze have their visibility reduced due to the existence of aerosols in the atmosphere. Image dehazing methods try to recover haze-free versions of these images by removing the effect of haze. Methods proposed till now are exclusively for daytime scene images or for night-time scene. The method we propose here can dehaze an image independent of whether it was captured during the day or night. To achieve this we have relaxed the image formation model to take into account spatially varying atmospheric light that may be present in night-time images. We estimate the contributing airlights and also the patches that are affected by it. We then remove the effect of airlight to obtain haze-free image. We demonstrate the results obtained by using our method on day and night-time images. We have compared out results with that of recently reported methods and the results show the effectiveness of our method.,10.1109/ICPR.2016.7899834,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7899834,daytime;night-time;image dehazing,19,,15
Ship Detection in Remote Sensing Image based on Faster R-CNN with Dilated Convolution,S. Wei; H. Chen; X. Zhu; H. Zhang,"School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China; School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China; School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China; School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China",2020,"Ship detection based on remote sensing image can provide effective assistance for maritime reconnaissance, port and fisheries management. This paper mainly presents an improved Faster R-CNN algorithm for ship detection with dilated convolution. Firstly, the image of remote sensing ship is preprocessed. This paper uses dark channel prior method to dehaze image and enhance dehazed image quality by grey world algorithm. Second, The Faster R-CNN is improved in ship detection. The dilated convolutional is introduced into Faster R-CNN to increases its feature extraction capability. Finally, ship detection software platform is built. The remote ship image preprocessing and ship detection network is integrated into an application software. The ship detection network can be trained end to end. Experimental results on the HRSC2016 datasets illustrated that the proposed presents a good performance for ship detection task.",10.23919/CCC50068.2020.9189467,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9189467,Dilated convolution;Faster R-CNN;Image preprocessing;Ship detection,18,,16
Nonuniformly Dehaze Network for Visible Remote Sensing Images,Z. Chen; Q. Li; H. Feng; Z. Xu; Y. Chen,"College of Optical Science and Engineering, Zhejiang University, China; College of Optical Science and Engineering, Zhejiang University, China; College of Optical Science and Engineering, Zhejiang University, China; College of Optical Science and Engineering, Zhejiang University, China; College of Optical Science and Engineering, Zhejiang University, China",2022,"Nonuniform haze on remote sensing images degrades image quality and hinders many high-level tasks. In this paper, we propose a Nonuniformly Dehaze Network towards nonuniform haze on visible remote sensing images. To extract robust haze-aware features, we propose Nonuniformly Excite (NE) module. Inspired by the well-known gather-excite attention module, NE module works in a map-excite manner. In the map operation, we utilize a proposed Dual Attention Dehaze block to extract local enhanced features. In the gather operation, we utilize a strided deformable convolution to nonuniformly process features and extract nonlocal haze-aware features. In the excite operation, we employ a pixel-wise attention between local enhanced features and nonlocal haze-aware features, to gain finer haze-aware features. Moreover, we recursively embed NE modules in a multi-scale framework. It helps not only significantly reduce network’s parameters, but also recursively deliver and fuse haze-aware features from higher levels, which makes learning more efficient. Experiments demonstrate that the proposed network performs favorably against the state-of-the-art methods on both synthetic and real-world images.",10.1109/CVPRW56347.2022.00060,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9857255,,17,,41
Color Channel-Based Smoke Removal Algorithm Using Machine Learning for Static Images,W. -T. Chen; S. -Y. Yuan; G. -C. Tsai; H. -C. Wang; S. -Y. Kuo,"Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan; Department of Communications Engineering, Feng Chia University, Taichung, Taiwan; Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan; Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan; Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan",2018,"Images acquired from digital cameras are usually interfered by smoke, which may degrade the performance of object detection. There are few algorithms focused on smoke removal for still images so far and we usually use haze removal algorithms to remove smoke instead. However, there exist some differences between haze and smoke (e.g. particle properties and localization). Thus, a dehaze algorithm usually has limited performance for smoke removal. In this paper, we propose a novel smoke removal algorithm based on machine learning and smoke detection techniques. Moreover, we observed that the intensity distributions are not the same for different color channels in smoky images. Therefore, the proposed algorithm trains the models corresponding to each color channel and remove smoke from RGB channels separately. Simulations show that the proposed algorithm can significantly remove smoke. Moreover, as far as we know, the proposed algorithm is the first smoke removal algorithm for static images.",10.1109/ICIP.2018.8451581,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8451581,Smoke Removal;Machine Learning;Color Channel;Image Restoration;Static Image,17,,19
Dehazing of color image using stochastic enhancement,S. Bhattacharya; S. Gupta; K. S. Venkatesh,"Indian Institute of Technology, Kanpur, India; Indian Institute of Technology, Kanpur, India; Indian Institute of Technology, Kanpur, India",2016,"Images captured in presence of fog, haze or snow usually suffer from poor contrast and visibility. In this paper we propose a novel dehazing method to increase visibility from a single view without using any prior knowledge about the outdoor scene. The proposed method estimates a visibility map of the scene from the input image and uses stochastic iterative algorithm to remove fog and haze. The method can be applied to color and grayscale images. Experimental results show that the proposed algorithm outperforms most of the state-of-the-art algorithms in terms of contrast, colorfulness and visibility.",10.1109/ICIP.2016.7532759,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7532759,image enhancement;dehaze;local enhancement,15,,24
Single Image Dehazing with White Balance Correction and Image Decomposition,R. He; Z. Wang; H. Xiong; D. D. Feng,"Northwestern Polytechnical University, Xian, China; School of Information Technologies, The University of Sydney, Australia; School of Information Technologies, The University of Sydney, Australia; School of Information Technologies, The University of Sydney, Australia",2012,"Single image dehazing has been a challenging problem due to its ill-posed nature. While most of the existing single image based dehazing algorithms address this issue by introducing certain assumptions and priors into the haze imaging model, the imaging process of imaging devices has been seldom taken into account, such as white balance and metering. In general, consumer photos are taken with AWB (Auto White Balance). Hence, color temperature in a foggy scenario may not be correctly detected, which results in color distortion; and the whole scene looks brighter, which leads to under-exposure during the imaging process. In this paper, we propose to handle these two issues by applying white balance correction and decomposing an image into two component images, reflex lightness image and ambience illumination image. We devise an improved dark channel prior based algorithm to dehaze the reflex lightness image and the exposure adjustment is estimated from the ambience illumination image. Finally, a high quality haze- free image is produced by refining the brightness of the preliminarily dehazed image with the estimated exposure adjustment. Experimental results with a benchmark dataset demonstrate that our approach outperforms the state-of-the-art, in terms of contrast and color fidelity.",10.1109/DICTA.2012.6411690,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6411690,,15,,20
A Model-Driven Deep Dehazing Approach by Learning Deep Priors,D. Yang; J. Sun,"School of Mathematics and Statistics, Xi’an Jiaotong University, Xi’an, China; School of Mathematics and Statistics, Xi’an Jiaotong University, Xi’an, China",2021,"Photos taken in hazy weather are usually covered with white masks and lose important details. Haze removal is a fundamental task and a prerequisite to many other vision tasks. Single image dehazing is an ill-posed inverse problem that has attracted much attention in recent years. Generally, current single dehazing methods can be categorized into the traditional prior-based methods and the data-driven deep learning methods that respectively investigate haze-related image priors and deep architectures. In this paper, we propose a novel model-driven deep learning approach that combines the advantages of both kinds of methods. First, we build an energy model for single image dehazing with physical constraints in both color image space and haze-related feature space (implemented as dark channel space in this work), regularized by haze-related image priors. Then, we design an iterative optimization algorithm for solving the proposed dehazing energy model based on the half-quadratic splitting algorithm, and the priors are transformed to their corresponding proximal operators. Finally, inspired by the optimization algorithm, we design a deep dehazing neural network, dubbed as proximal dehaze-net, by learning the proximal operators for haze-related image priors using CNNs. Our network incorporates physical model constraints of hazes and haze-related prior learning into a novel deep architecture. Extensive experiments show that our method achieves promising performance for single image dehazing.",10.1109/ACCESS.2021.3101319,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9502677,Image dehazing;deep learning;neural networks;model-driven;prior-learning,15,,68
Single image haze removal using novel estimation of atmospheric light and transmission,H. Park; D. Park; D. K. Han; H. Ko,"School of Electrical Engineering, Korea University, Seoul, Korea; Dept. of Visual Information Processing, Korea University, Seoul, Korea; Ocean Engineering and Marine Systems Team, Office of Naval Research, Arlington, VA, USA; School of Electrical Engineering, Korea University, Seoul, Korea",2014,"This paper presents a new single image dehaze approach that uses a novel estimation of the atmospheric light and media transmission. Conventional dehaze methods often result in degraded images with low contrast and/or oversaturation of color in some regions. In order to mitigate these problems we use local atmospheric light and estimate the media transmission for each local region by using an objective function represented by modified saturation evaluation metric and intensity difference. Experimental results on a variety of outdoor haze images show that the proposed method achieves excellent restoration in terms of contrast, color fidelity and image visibility.",10.1109/ICIP.2014.7025913,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7025913,Dehaze;saturation evaluation metric;local atmospheric light;image enhancement;media transmission,14,,17
Underwater image restoration using single color channel prior,S. Borkar; S. V. Bonde,"Department of Electronics and Telecommunication Engineering, S.G.G.S. Institute of Engineering and Technology, Nanded, Maharashtra, India; Department of Electronics and Telecommunication Engineering, S.G.G.S. Institute of Engineering and Technology, Nanded, Maharashtra, India",2016,"Recovering dehazed image from the single underwater image has always been a challenging task. Inspired from dark channel prior, we extend it further to dehaze the underwater images using a single color channel. The red color component undergoes maximum attenuation on account of the longest wavelength and dominates the dark channel prior in the underwater scenario. We developed the algorithm based on the red color channel, and obtained depth map using morphological operation. The proposed approach significantly restores the color, minimizes the effect of haze and improves the contrast. Experimental results based on qualitative and quantitative analysis exhibits that the proposed method performs efficiently as compared to existing dehazing algorithms.",10.1109/ICONSIP.2016.7857488,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7857488,Underwater image dehazing;restoration;dark channel prior;color attenuation;visibility enhancement,14,,20
DegAE: A New Pretraining Paradigm for Low-Level Vision,Y. Liu; J. He; J. Gu; X. Kong; Y. Qiao; C. Dong,Shanghai Artificial Intelligence Laboratory; Shanghai Artificial Intelligence Laboratory; Shanghai Artificial Intelligence Laboratory; Shanghai Artificial Intelligence Laboratory; Shanghai Artificial Intelligence Laboratory; Shanghai Artificial Intelligence Laboratory,2023,"Self-supervised pretraining has achieved remarkable success in high-level vision, but its application in low-level vision remains ambiguous and not well-established. What is the primitive intention of pretraining? What is the core problem of pretraining in low-level vision? In this paper, we aim to answer these essential questions and establish a new pretraining scheme for low-level vision. Specifically, we examine previous pretraining methods in both high-level and low-level vision, and categorize current low-level vision tasks into two groups based on the difficulty of data acqui-sition: low-cost and high-cost tasks. Existing literature has mainly focused on pretraining for low-cost tasks, where the observed performance improvement is often limited. However, we argue that pretraining is more significant for high-cost tasks, where data acquisition is more challenging. To learn a general low-level vision representation that can improve the performance of various tasks, we propose a new pretraining paradigm called degradation autoencoder (De-gAE). DegAE follows the philosophy of designing pretext task for self-supervised pretraining and is elaborately tai-lored to low-level vision. With DegAE pretraining, SwinIR achieves a 6.88dB performance gain on image dehaze task, while Uformer obtains 3.22dB and 0.54dB improvement on dehaze and derain tasks, respectively.",10.1109/CVPR52729.2023.02231,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10203342,Low-level vision,14,,81
Single Image Dehazing Using Dark Channel Fusion and Haze Density Weight,W. Mei; X. Li,"School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China; School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China",2019,"Aiming at the defect that many traditional single image dehazing algorithms fail in sky areas and suffer from the darkness and residual artifacts, a method of single image dehazing based on dark channel fusion and haze density weight is proposed in this paper. Firstly, the method of dark channel fusion, which can effectively ensure that the pixel intensity of the sky areas in the dark channel map is as low as that of non-sky areas, is proposed to approximate the dark channel operation. Considering that the haze density is different in different regions of the hazy image, we then calculate the haze density weight to estimate reliable transmission. For obtaining more accurate transmission and atmospheric light, we utilize the guided filter to refine them. Consequently, the haze-free image can be restored by the atmospheric scattering model. Experimental results show that the proposed method can obviously eliminate the color cast and distortion phenomenon in sky regions and the details of restored image become more distinct after removing the residual artifacts. Moreover, the brightness, visibility and contrast are improved to a large degree.",10.1109/ICEIEC.2019.8784493,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8784493,dehaze;dark channel fusion;haze density weight;atmospheric scattering model,13,,28
Contrastive Haze-Aware Learning for Dynamic Remote Sensing Image Dehazing,J. Nie; W. Wei; L. Zhang; J. Yuan; Z. Wang; H. Li,"Shaanxi Provincial Key Laboratory of Speech and Image Information Processing, School of Computer Science, Northwestern Polytechnical University, Xi’an, China; Shaanxi Provincial Key Laboratory of Speech and Image Information Processing, School of Computer Science, Northwestern Polytechnical University, Xi’an, China; Shaanxi Provincial Key Laboratory of Speech and Image Information Processing, School of Computer Science, Northwestern Polytechnical University, Xi’an, China; Alibaba Group, Hangzhou, China; Alibaba Group, Hangzhou, China; Alibaba Group, Hangzhou, China",2022,"Image dehazing methods aim to recover a clear image from its hazy counterpart. While various dehazing methods have been proposed, their performance on real-world remote sensing (RS) images remains unsatisfying. A key reason is that the complex weather and imaging conditions (e.g., large fields of view) cause the haze condition to dramatically change in different images, while most of the existing methods fail to flexibly adapt their dehazing model to the specific haze condition in each image. To mitigate this problem, we present a contrastive haze-aware learning-based dynamic dehazing method that demonstrates two aspects of advantage. On one hand, a contrastive clustering scheme is used to learn the imagewise haze representation using a set of real-world hazy images in an unsupervised manner, which enables identifying and discriminating the specific haze condition in each given hazy image. On the other hand, with the learned haze representation, a parameter generator can produce haze-aware parameters to dynamically construct a dehazing model for the given hazy image, which empowers us to adaptively dehaze the image based on its specific haze condition and thus improves the generalization ability. In addition, a new contrastive loss defined based on the learned haze representation is further used for model training and leads to better performance. To demonstrate the effectiveness of the proposed method, we evaluate it on two benchmark RS image datasets including various real-world hazy images and observe obvious superiority over other state-of-the-art (SOTA) competitors.",10.1109/TGRS.2022.3220940,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9943292,Contrastive learning;dynamic dehazing network;haze-aware network,13,,42
Road Object Detection in Foggy Complex Scenes Based on Improved YOLOv8,L. Cheng; D. Zhang; Y. Zheng,"School of Automotive and Traffic Engineering, Jiangsu University of Technology, Changzhou, Jiangsu, China; School of Automotive and Traffic Engineering, Jiangsu University of Technology, Changzhou, Jiangsu, China; School of Automotive and Traffic Engineering, Jiangsu University of Technology, Changzhou, Jiangsu, China",2024,"Focusing on the challenges of vehicle detection in foggy weather, especially the algorithm of low accuracy caused by small and incomplete targets in adverse weather conditions, a foggy weather vehicle detection algorithm based on improved lightweight YOLOv8 was proposed. Firstly, the dataset was processed through a combination of data transformation, Dehaze Formers and dark channel preprocessing. Secondly, in the main body of YOLOv8, the C2f component was replaced with the dynamic convolution C2f- DCN, enhancing its adaptability to geometric changes in the image. To further improve the detection performance of the classifier, an improved S5attention module based on S2-MLP was introduced. This module utilizes contextual information to capture long-range dependencies and assign weights to different channels based on their relevance to the task at hand. By considering non-local features, the S5attention module helps the model better capture important spatial relationships within the image. Additionally, the feature extraction module was updated to FasterNext, improving the differential convolution’s feature extraction capabilities. The Involution module was also introduced to reduce FLOPs during feature channel fusion and reduce the model’s parameter count. Experimental results show that on the RESIDE foggy weather dataset, the improved algorithm has an mAP50 increase of 4.1% compared with the original algorithm, and the model’s parameter quantity is only 9.06m, with a computational cost reduced from 28.7G to 28.1G. The research model in this article will provide technical support for detecting vehicle targets in foggy weather, ensuring fast and accurate operation.",10.1109/ACCESS.2024.3438612,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10623262,Deep learning;foggy weather vehicle detection;YOLOv8;feature extraction,13,,32
Image quality assessment on image haze removal,S. Fang; J. Yang; J. Zhan; H. Yuan; R. Rao,"School of Computer and Information, Hefei University of Technology, Hefei, China; School of Computer and Information, Hefei University of Technology, Hefei, China; School of Computer and Information, Hefei University of Technology, Hefei, China; Anhui Institute of Physical Science, Chinese Academy and Sciences, Hefei, China; Anhui Institute of Optics and Fine Mechanics, Chinese Academy and Sciences, Hefei, China",2011,"In the hazy weather, the image of outdoor scene is degraded by suspended particles. Recently, great progresses have been made on single image haze removal. Therefore an accurate quality metric is required. Although image quality assessment has been extensively studied these past few decades, few methods can be applied in this area since there is no reference image. This paper proposed an evaluation metric combining the ascension of contrast degree with the structural similarity to deal with the problem. The ascension of the contrast degree and the structural similarity are computed respectively based on the spatial frequency contrast and the edges consistency between the hazy and the dehazed image. At last, we evaluate the state-of-the-art image haze removal methods based on our evaluation metric.",10.1109/CCDC.2011.5968254,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5968254,Dehaze;Image Quality Assessment;Contrast Enhancement;the Contrast Degree of Ascension;Structural Similarity,12,,23
